content_id,title,genre,release_date,language,duration_minutes,rating,production_studio
CONT000026,Scarlet Warriors,Thriller,2021-03-08,Telugu,109,7.2,Geetha Arts
CONT000027,Iron Mirage,Anime,2016-05-10,Hindi,116,1.9,KVN Productions
CONT000028,Hidden Empire Unleashed,Romance,2000-02-01,French,227,4.1,MGM Studios
CONT000029,Golden Vendetta,Sports,2008-12-09,French,105,4.9,MGM Studios
CONT000030,Lost Dreams,Sports,2020-10-10,Spanish,81,7.5,Yash Raj Films
CONT000031,Eternal Warriors Returns,Drama,2021-04-11,Japanese,99,5.9,Sony Pictures
CONT000032,Shadow Warriors,Comedy,2023-08-15,Kannada,171,9.9,Dharma Productions
CONT000033,Forgotten Prophecy Origins,Sci-Fi,2013-02-20,Tamil,210,3.9,Legendary Pictures
CONT000034,Fallen Vendetta The Beginning,Anime,2020-07-20,Spanish,188,2.2,Sony Pictures
CONT000035,Whispering Echoes Returns,Drama,2000-03-05,Kannada,104,2.3,Lionsgate
CONT000036,Scarlet Legacy,Anime,2023-04-02,French,87,8.9,Universal Studios
CONT000037,Final Chronicles Part II,Documentary,2020-04-13,English,76,5.0,Lionsgate
CONT000038,Whispering Alliance,Thriller,2020-04-16,French,189,9.5,Amazon Studios
CONT000039,Whispering Genesis,Thriller,2025-02-05,Tamil,174,2.2,20th Century Studios
CONT000040,Wild Heart,Sci-Fi,2019-03-19,Hindi,114,7.0,Toho Studios
CONT000041,Crimson Genesis,Anime,2006-05-31,Telugu,95,9.7,T-Series Films
CONT000042,Emerald Symphony,Sci-Fi,2007-03-30,Spanish,191,4.6,AVM Productions
CONT000043,Hidden Secrets,Anime,2000-11-15,Japanese,201,5.1,Amazon Studios
CONT000044,Shadow Storm,Romance,2013-04-02,Hindi,88,9.9,Toho Studios
CONT000045,Final Genesis Origins,Thriller,2001-10-10,Kannada,129,7.8,Suresh Productions
CONT000046,Fallen Prophecy,Thriller,2018-03-18,Kannada,197,9.3,A24
CONT000047,Emerald Reckoning,Thriller,2002-07-31,Kannada,168,9.1,Studio Ghibli
CONT000048,Shadow Destiny Origins,Comedy,2009-12-22,Hindi,127,8.8,Hombale Films
CONT000049,Shadow Empire,Sports,2012-01-06,Kannada,71,5.7,T-Series Films
CONT000050,Crimson Symphony Reloaded,Sci-Fi,2013-12-29,Telugu,195,7.8,Toei Animation
CONT000051,Iron Echoes,Thriller,2015-07-26,English,124,1.3,Warner Bros Pictures
CONT000052,Scarlet Echoes,Sci-Fi,2023-01-25,French,122,9.4,20th Century Studios
CONT000053,Electric Vendetta,Kids,2024-06-27,Spanish,189,3.8,Dharma Productions
CONT000054,Final Empire The Beginning,Drama,2018-02-25,Japanese,73,8.5,Warner Bros Pictures
CONT000055,Golden Destiny,Thriller,2019-04-28,Kannada,74,1.8,Suresh Productions
CONT000056,Wild Prophecy,Thriller,2010-11-12,Telugu,71,5.1,Yash Raj Films
CONT000057,Midnight Heart Origins,Anime,2024-07-16,Japanese,122,1.3,Prithvi Productions
CONT000058,Rising Chronicles,Action,2015-01-16,Spanish,81,5.3,Marvel Studios
CONT000059,Ancient Chronicles Part II,Comedy,2011-11-07,Hindi,96,4.6,Universal Studios
CONT000060,Wild Warriors The Beginning,Sci-Fi,2003-10-16,Kannada,228,9.0,Toho Studios
CONT000061,Savage Alliance,Anime,2022-03-02,Kannada,132,7.5,MGM Studios
CONT000062,Eternal Kingdom,Documentary,2019-04-03,Kannada,194,7.8,A24
CONT000063,Forgotten Vendetta,Romance,2010-04-25,Hindi,67,1.4,MGM Studios
CONT000064,Sacred Legacy,Kids,2025-01-19,English,220,1.2,Legendary Pictures
CONT000065,Electric Rebellion,Action,2020-06-30,Hindi,188,9.1,Paramount Pictures
CONT000066,Electric Echoes The Beginning,Kids,2011-04-24,Hindi,127,3.1,Gaumont Film Company
CONT000067,Hidden Rebellion,Kids,2022-02-26,Spanish,79,5.3,Netflix Originals Studio
CONT000068,Rising Sanctuary The Beginning,Sci-Fi,2003-06-23,Kannada,144,3.3,Studio Canal
CONT000069,Velvet Voyage,Drama,2000-07-23,French,75,5.4,Netflix Originals Studio
CONT000070,Crimson Reckoning Returns,Thriller,2023-03-03,Telugu,178,5.2,Gaumont Film Company
CONT000071,Rising Dreams,Action,2012-12-27,French,79,8.4,Hombale Films
CONT000072,Midnight Storm Reloaded,Comedy,2004-01-19,Kannada,194,3.4,Geetha Arts
CONT000073,Eternal Alliance,Documentary,2012-07-16,Hindi,240,4.3,KVN Productions
CONT000074,Savage Genesis,Action,2007-02-19,English,185,7.1,Mythri Movie Makers
CONT000075,Rising Requiem Origins,Sports,2014-03-06,Hindi,144,1.0,Gaumont Film Company
CONT000076,Lost Vendetta,Sci-Fi,2000-07-11,Telugu,124,4.3,Mythri Movie Makers
CONT000077,Sacred Wonderland,Thriller,2002-03-01,Telugu,86,1.5,Netflix Originals Studio
CONT000078,Rising Destiny,Sci-Fi,2011-12-02,Spanish,190,3.8,Gaumont Film Company
CONT000079,Sacred Mirage,Action,2017-12-11,Tamil,80,1.4,Studio Canal
CONT000080,Fallen Heart,Drama,2012-11-02,French,72,9.2,Legendary Pictures
CONT000081,Eternal Symphony,Anime,2012-08-21,Telugu,125,7.7,MGM Studios
CONT000082,Midnight Storm,Thriller,2021-09-03,Spanish,90,2.5,Yash Raj Films
CONT000083,Golden Chronicles,Kids,2024-09-08,Tamil,175,9.2,Gaumont Film Company
CONT000084,Iron Path Reloaded,Sci-Fi,2004-01-26,Kannada,147,6.0,Lyca Productions
CONT000085,Final Secrets Unleashed,Sci-Fi,2000-11-25,Spanish,158,4.7,Marvel Studios
CONT000086,Hidden Storm Part II,Kids,2012-06-12,Japanese,92,7.2,Marvel Studios
CONT000087,Ancient Mirage,Sci-Fi,2004-02-26,Telugu,123,4.5,MGM Studios
CONT000088,Iron Path,Action,2005-09-15,English,168,7.4,Prithvi Productions
CONT000089,Restless Throne,Kids,2000-01-03,Hindi,160,9.4,Real Star Productions
CONT000090,Forgotten Echoes,Kids,2011-02-22,Hindi,117,2.4,Marvel Studios
CONT000091,Electric Legacy,Kids,2003-10-24,English,60,8.0,T-Series Films
CONT000092,Burning Wonderland The Beginning,Thriller,2005-09-27,Telugu,195,6.7,Amazon Studios
CONT000093,Silver Legacy Origins,Documentary,2008-08-06,Spanish,126,3.0,Lionsgate
CONT000094,Iron Odyssey,Sci-Fi,2021-04-27,Tamil,200,3.2,AVM Productions
CONT000095,Velvet Destiny,Action,2008-09-15,French,232,6.8,Paramount Pictures
CONT000096,Midnight Rebellion,Anime,2010-03-04,French,68,7.3,Amazon Studios
CONT000097,Fallen Secrets,Sci-Fi,2000-04-20,Telugu,189,1.6,KVN Productions
CONT000098,Hidden Voyage,Sci-Fi,2010-05-09,French,116,3.4,Prithvi Productions
CONT000099,Rising Legacy,Kids,2008-05-26,Tamil,184,4.8,Netflix Originals Studio
CONT000100,Silent Alliance Returns,Action,2009-07-20,English,212,2.3,Universal Studios
CONT000101,Velvet Kingdom Returns,Anime,2005-01-28,Hindi,102,4.0,Yash Raj Films
CONT000102,Ancient Wonderland,Kids,2001-06-06,Telugu,230,7.5,Suresh Productions
CONT000103,Sacred Empire,Comedy,2000-02-17,Hindi,131,1.7,AVM Productions
CONT000104,Savage Legacy,Sci-Fi,2017-01-19,Japanese,139,8.4,AVM Productions
CONT000105,Golden Kingdom,Sci-Fi,2016-09-19,French,109,3.9,Studio Canal
CONT000106,Savage Throne Returns,Sci-Fi,2018-02-26,English,156,1.3,Paramount Pictures
CONT000107,Restless Wonderland Reloaded,Comedy,2015-03-18,Japanese,129,4.0,Lionsgate
CONT000108,Silent Odyssey,Anime,2012-05-12,Telugu,60,7.5,Lionsgate
CONT000109,Endless Mirage,Comedy,2001-02-01,Tamil,87,5.3,Hombale Films
CONT000110,Silver Storm,Sports,2022-02-19,Kannada,187,2.6,Toho Studios
CONT000111,Endless Requiem,Drama,2010-08-04,Japanese,141,5.1,Toho Studios
CONT000112,Restless Alliance Reloaded,Sports,2007-03-05,Tamil,164,1.6,Universal Studios
CONT000113,Emerald Fury,Drama,2019-02-18,Hindi,78,3.4,Paramount Pictures
CONT000114,Hidden Legacy,Kids,2007-10-08,Tamil,94,4.8,Lionsgate
CONT000115,Savage Frontier Unleashed,Comedy,2013-03-08,Telugu,131,6.1,Geetha Arts
CONT000116,Midnight Requiem Returns,Sci-Fi,2008-05-01,Tamil,120,2.4,Prithvi Productions
CONT000117,Endless Justice Part II,Sports,2011-04-16,Tamil,189,5.7,MGM Studios
CONT000118,Restless Legacy,Action,2004-08-03,English,181,8.9,T-Series Films
CONT000119,Forgotten Heart,Action,2013-03-04,Tamil,90,1.5,Lionsgate
CONT000120,Forgotten Justice Part II,Anime,2022-12-30,Kannada,174,6.4,Gaumont Film Company
CONT000121,Silver Frontier,Comedy,2015-09-08,Tamil,69,4.3,Sony Pictures
CONT000122,Silent Chronicles,Action,2009-02-15,English,143,4.7,Geetha Arts
CONT000123,Broken Alliance,Sci-Fi,2001-05-30,French,200,5.4,AVM Productions
CONT000124,Crimson Mirage,Documentary,2006-12-07,Hindi,227,2.5,Amazon Studios
CONT000125,Midnight Path,Thriller,2018-09-28,English,139,7.7,Prithvi Productions
CONT000126,Sacred Path,Anime,2008-11-04,Spanish,163,2.8,Warner Bros Pictures
CONT000127,Fallen Genesis Part II,Comedy,2018-03-22,Japanese,177,8.0,Sony Pictures
CONT000128,Shadow Kingdom,Sports,2003-12-29,Japanese,189,2.5,Geetha Arts
CONT000129,Rising Symphony,Comedy,2004-11-17,Spanish,185,7.8,Toho Studios
CONT000130,Restless Chronicles,Action,2021-08-27,Japanese,73,6.5,MGM Studios
CONT000131,Wild Dreams,Romance,2007-03-10,Tamil,218,4.6,Vyjayanthi Movies
CONT000132,Hidden Vendetta,Romance,2009-10-13,English,162,9.4,Yash Raj Films
CONT000133,Wild Secrets Reloaded,Sci-Fi,2001-11-04,English,230,8.5,20th Century Studios
CONT000134,Wild Alliance,Thriller,2018-11-04,Telugu,209,3.2,Mythri Movie Makers
CONT000135,Electric Secrets,Kids,2008-01-07,English,60,6.6,KVN Productions
CONT000136,Iron Rebellion,Romance,2020-07-22,Kannada,181,4.6,Paramount Pictures
CONT000137,Eternal Secrets,Comedy,2019-10-29,English,70,6.7,Paramount Pictures
CONT000138,Scarlet Echoes Unleashed,Sports,2006-02-09,English,76,10.0,Studio Canal
CONT000139,Velvet Vendetta Reloaded,Kids,2012-11-29,Kannada,235,8.1,Real Star Productions
CONT000140,Final Dreams,Romance,2011-04-25,Kannada,142,9.1,Studio Ghibli
CONT000141,Savage Vendetta,Thriller,2022-07-12,French,113,6.3,Lionsgate
CONT000142,Whispering Rebellion,Action,2008-12-03,Kannada,163,2.5,Real Star Productions
CONT000143,Midnight Frontier,Sports,2007-07-27,Telugu,89,7.9,Universal Studios
CONT000144,Ancient Prophecy,Kids,2024-11-26,Hindi,124,9.9,MGM Studios
CONT000145,Radiant Storm,Anime,2011-11-16,Spanish,154,6.2,Geetha Arts
CONT000146,Lost Sanctuary Reloaded,Drama,2002-03-02,Telugu,192,3.3,MGM Studios
CONT000147,Radiant Justice,Anime,2000-01-30,English,116,2.3,Lionsgate
CONT000148,Ancient Path,Anime,2002-02-21,Kannada,185,3.0,MGM Studios
CONT000149,Silent Warriors Unleashed,Anime,2013-08-16,Hindi,193,4.2,T-Series Films
CONT000150,Fallen Justice,Drama,2009-02-27,Japanese,219,8.5,Yash Raj Films
CONT000151,Eternal Warriors,Sci-Fi,2006-09-12,French,84,1.6,Sony Pictures
CONT000152,Radiant Frontier,Sports,2011-11-08,English,74,6.8,Legendary Pictures
CONT000153,Savage Secrets,Romance,2019-11-27,French,123,2.5,Warner Bros Pictures
CONT000154,Silent Kingdom,Sports,2008-04-29,Tamil,100,1.5,Gaumont Film Company
CONT000155,Crimson Warriors,Sci-Fi,2006-05-19,Spanish,111,5.7,MGM Studios
CONT000156,Whispering Destiny,Romance,2007-11-01,Telugu,76,3.7,Universal Studios
CONT000157,Savage Requiem,Documentary,2000-04-14,Spanish,171,7.7,Hombale Films
CONT000158,Golden Requiem,Drama,2010-02-18,Hindi,126,3.1,Universal Studios
CONT000159,Crimson Empire,Thriller,2002-05-10,Telugu,222,6.0,AVM Productions
CONT000160,Electric Mirage,Thriller,2013-04-05,Tamil,81,8.9,Warner Bros Pictures
CONT000161,Broken Odyssey,Sci-Fi,2007-02-21,Japanese,109,8.9,Lyca Productions
CONT000162,Distant Rebellion,Documentary,2021-01-22,French,195,7.3,Vyjayanthi Movies
CONT000163,Shadow Path,Sci-Fi,2025-08-01,Telugu,114,4.5,A24
CONT000164,Golden Justice,Drama,2001-06-23,English,88,2.0,Real Star Productions
CONT000165,Broken Secrets,Action,2001-05-20,English,95,7.2,MGM Studios
CONT000166,Silent Reckoning Part II,Comedy,2016-04-20,Tamil,196,9.0,Paramount Pictures
CONT000167,Savage Prophecy,Sports,2004-10-20,Tamil,112,2.8,Universal Studios
CONT000168,Silent Prophecy,Comedy,2012-11-21,French,85,2.2,Toho Studios
CONT000169,Silver Destiny Origins,Anime,2019-01-03,Telugu,65,4.2,Real Star Productions
CONT000170,Rising Kingdom,Anime,2014-05-23,French,133,6.6,Warner Bros Pictures
CONT000171,Restless Path Unleashed,Comedy,2015-07-22,French,240,1.4,A24
CONT000172,Hidden Reckoning,Comedy,2025-10-09,Telugu,103,4.9,Marvel Studios
CONT000173,Silent Warriors,Comedy,2022-01-17,Kannada,186,6.3,Suresh Productions
CONT000174,Whispering Odyssey,Drama,2012-09-22,Tamil,239,3.1,Yash Raj Films
CONT000175,Crimson Destiny,Kids,2025-03-05,Hindi,220,3.9,20th Century Studios
CONT000176,Wild Wonderland,Comedy,2018-12-08,English,155,2.9,Studio Ghibli
CONT000177,Fallen Genesis,Drama,2017-01-05,Tamil,177,2.1,Lionsgate
CONT000178,Silver Reckoning,Action,2015-08-19,Japanese,193,2.4,Suresh Productions
CONT000179,Iron Frontier,Anime,2007-08-09,French,172,7.2,Studio Ghibli
CONT000180,Burning Rebellion Returns,Sci-Fi,2022-10-10,Tamil,128,3.7,Amazon Studios
CONT000181,Scarlet Horizon,Anime,2023-06-04,Japanese,101,3.1,Dharma Productions
CONT000182,Midnight Requiem,Drama,2004-07-23,Tamil,158,2.4,Sony Pictures
CONT000183,Restless Voyage,Sports,2012-04-13,Tamil,87,6.7,20th Century Studios
CONT000184,Midnight Chronicles,Kids,2001-07-09,English,162,8.7,AVM Productions
CONT000185,Velvet Rebellion,Thriller,2020-10-12,English,96,3.3,Studio Canal
CONT000186,Wild Warriors,Sports,2025-09-30,Spanish,118,7.0,MGM Studios
CONT000187,Velvet Justice,Drama,2005-07-28,French,170,3.8,MGM Studios
CONT000188,Velvet Legacy,Sci-Fi,2017-12-12,Kannada,124,8.6,KVN Productions
CONT000189,Iron Warriors,Sports,2023-04-01,Kannada,227,4.0,Warner Bros Pictures
CONT000190,Wild Vendetta,Comedy,2001-09-16,Telugu,199,3.0,Amazon Studios
CONT000191,Frozen Chronicles,Documentary,2000-09-20,Japanese,193,4.1,Studio Canal
CONT000192,Iron Chronicles,Drama,2017-08-09,Hindi,217,4.2,Universal Studios
CONT000193,Midnight Odyssey,Action,2000-08-06,Hindi,167,9.2,MGM Studios
CONT000194,Velvet Frontier,Thriller,2004-11-25,Tamil,137,7.7,Marvel Studios
CONT000195,Final Mirage,Kids,2009-07-05,Kannada,93,9.4,Paramount Pictures
CONT000196,Restless Mirage,Kids,2025-03-18,Tamil,97,4.2,MGM Studios
CONT000197,Silver Fury,Kids,2015-11-30,Tamil,128,7.3,Netflix Originals Studio
CONT000198,Emerald Warriors,Thriller,2016-01-22,Tamil,227,3.7,KVN Productions
CONT000199,Emerald Path,Comedy,2016-04-04,Kannada,137,8.7,Universal Studios
CONT000200,Lost Mirage,Documentary,2015-06-25,English,228,1.1,Paramount Pictures
CONT000201,Ancient Voyage Part II,Romance,2006-05-27,Tamil,107,8.0,Geetha Arts
CONT000202,Restless Horizon Returns,Documentary,2007-07-14,Hindi,231,9.1,Legendary Pictures
CONT000203,Restless Destiny,Sci-Fi,2022-03-07,Tamil,195,1.7,Suresh Productions
CONT000204,Frozen Legacy Reloaded,Drama,2021-03-24,French,202,1.5,Hombale Films
CONT000205,Final Throne Unleashed,Action,2007-03-12,Japanese,179,7.3,KVN Productions
CONT000206,Electric Voyage,Anime,2019-02-06,Spanish,233,1.7,MGM Studios
CONT000207,Sacred Destiny,Action,2002-01-21,Japanese,84,5.6,KVN Productions
CONT000208,Silver Genesis Reloaded,Sports,2005-09-10,Japanese,84,8.8,Geetha Arts
CONT000209,Lost Throne,Documentary,2009-06-14,Telugu,171,4.1,Studio Ghibli
CONT000210,Frozen Kingdom,Thriller,2015-12-07,French,163,4.0,Studio Ghibli
CONT000211,Radiant Echoes,Sci-Fi,2022-01-29,Hindi,144,2.7,Amazon Studios
CONT000212,Rising Horizon,Comedy,2001-10-18,Spanish,201,9.0,Legendary Pictures
CONT000213,Burning Kingdom,Comedy,2000-04-11,English,108,8.4,KVN Productions
CONT000214,Distant Sanctuary,Documentary,2024-05-21,Spanish,217,2.3,Netflix Originals Studio
CONT000215,Velvet Reckoning,Comedy,2009-07-13,English,230,6.7,MGM Studios
CONT000216,Silver Symphony Reloaded,Action,2018-11-29,Hindi,227,1.1,Vyjayanthi Movies
CONT000217,Forgotten Horizon,Documentary,2011-07-29,Telugu,107,4.8,Lyca Productions
CONT000218,Burning Wonderland,Kids,2025-06-16,English,90,8.0,AVM Productions
CONT000219,Burning Reckoning,Kids,2003-01-06,English,234,4.5,A24
CONT000220,Electric Horizon,Sports,2024-08-13,Hindi,81,6.8,Dharma Productions
CONT000221,Fallen Warriors The Beginning,Comedy,2003-12-15,Tamil,91,2.2,Warner Bros Pictures
CONT000222,Iron Requiem,Action,2016-05-30,Kannada,81,3.6,Legendary Pictures
CONT000223,Velvet Throne,Thriller,2002-05-12,English,62,1.5,Prithvi Productions
CONT000224,Ancient Frontier,Comedy,2017-06-12,Telugu,139,7.6,Yash Raj Films
CONT000225,Radiant Vendetta,Action,2014-03-09,Japanese,207,7.5,KVN Productions
CONT000226,Electric Symphony Part II,Anime,2007-05-11,Spanish,182,4.5,Toho Studios
CONT000227,Burning Empire Part II,Romance,2014-11-23,English,98,6.4,Toei Animation
CONT000228,Burning Path,Sci-Fi,2016-11-23,Spanish,235,4.4,Gaumont Film Company
CONT000229,Savage Rebellion,Thriller,2000-01-28,Japanese,127,3.4,Yash Raj Films
CONT000230,Savage Mirage Reloaded,Romance,2006-08-05,Telugu,200,7.2,Real Star Productions
CONT000231,Emerald Secrets,Documentary,2024-11-01,French,157,2.8,Gaumont Film Company
CONT000232,Scarlet Wonderland,Thriller,2002-08-01,Spanish,179,7.4,Real Star Productions
CONT000233,Midnight Justice,Sports,2020-08-15,Hindi,197,8.3,Gaumont Film Company
CONT000234,Golden Rebellion,Documentary,2011-08-23,Japanese,182,5.6,Dharma Productions
CONT000235,Hidden Chronicles Reloaded,Thriller,2016-04-10,Japanese,163,8.0,Vyjayanthi Movies
CONT000236,Eternal Rebellion Returns,Anime,2004-10-04,Japanese,221,5.2,Paramount Pictures
CONT000237,Eternal Empire,Anime,2012-08-01,English,84,1.3,Vyjayanthi Movies
CONT000238,Burning Chronicles Origins,Sports,2004-05-10,French,211,8.4,Sony Pictures
CONT000239,Midnight Vendetta Reloaded,Drama,2016-12-18,Hindi,67,1.5,Legendary Pictures
CONT000240,Sacred Prophecy,Kids,2002-11-17,Spanish,90,7.4,Paramount Pictures
CONT000241,Midnight Empire,Comedy,2022-09-20,Spanish,106,5.0,Yash Raj Films
CONT000242,Sacred Rebellion,Sci-Fi,2007-09-21,English,125,9.5,Universal Studios
CONT000243,Savage Fury,Action,2011-07-27,French,74,1.9,Lyca Productions
CONT000244,Silver Warriors,Thriller,2019-10-17,Hindi,180,3.9,Studio Ghibli
CONT000245,Wild Legacy,Sports,2007-07-24,French,121,8.3,Real Star Productions
CONT000246,Electric Genesis The Beginning,Sci-Fi,2001-08-13,Kannada,116,1.7,Lionsgate
CONT000247,Radiant Secrets,Drama,2020-01-23,Hindi,158,8.6,MGM Studios
CONT000248,Golden Heart,Anime,2010-06-28,French,89,6.7,Sony Pictures
CONT000249,Lost Rebellion,Drama,2020-03-31,Kannada,172,8.8,Studio Ghibli
CONT000250,Fallen Path Part II,Thriller,2025-08-12,Telugu,145,8.2,Studio Ghibli
CONT000251,Emerald Legacy,Kids,2005-02-13,Kannada,191,1.5,Prithvi Productions
CONT000252,Restless Frontier,Documentary,2021-06-01,Telugu,90,3.3,Dharma Productions
CONT000253,Final Wonderland Returns,Thriller,2018-08-23,Kannada,74,8.5,Toei Animation
CONT000254,Eternal Destiny Unleashed,Anime,2022-11-29,Kannada,173,1.0,Suresh Productions
CONT000255,Whispering Voyage Returns,Action,2018-05-06,Tamil,130,6.1,Sony Pictures
CONT000256,Forgotten Symphony,Sci-Fi,2007-11-17,Tamil,213,1.7,Paramount Pictures
CONT000257,Silver Odyssey Reloaded,Romance,2008-08-14,Telugu,111,1.1,Amazon Studios
CONT000258,Scarlet Wonderland Origins,Anime,2012-08-21,French,83,1.1,Real Star Productions
CONT000259,Silver Throne The Beginning,Thriller,2011-02-20,Kannada,204,8.5,Geetha Arts
CONT000260,Silent Symphony,Romance,2000-03-17,Japanese,193,9.4,Marvel Studios
CONT000261,Golden Legacy,Sci-Fi,2014-05-25,Spanish,207,7.8,Universal Studios
CONT000262,Rising Prophecy The Beginning,Kids,2020-01-10,English,195,8.2,Sony Pictures
CONT000263,Shadow Rebellion,Sci-Fi,2008-03-07,Kannada,86,3.8,Legendary Pictures
CONT000264,Forgotten Warriors The Beginning,Sci-Fi,2011-09-23,English,213,6.7,Hombale Films
CONT000265,Crimson Secrets,Drama,2002-01-10,Telugu,91,5.2,A24
CONT000266,Whispering Sanctuary Part II,Comedy,2018-03-13,Kannada,198,6.3,Vyjayanthi Movies
CONT000267,Final Horizon,Kids,2017-10-16,Kannada,64,9.4,Mythri Movie Makers
CONT000268,Velvet Path,Romance,2023-07-30,English,161,9.7,Universal Studios
CONT000269,Silver Secrets,Sci-Fi,2015-01-11,Spanish,204,8.2,Real Star Productions
CONT000270,Eternal Frontier,Sci-Fi,2018-12-08,English,153,2.0,Yash Raj Films
CONT000271,Golden Empire,Documentary,2000-12-07,Tamil,95,4.8,Mythri Movie Makers
CONT000272,Silver Wonderland,Action,2001-10-21,English,224,6.6,Real Star Productions
CONT000273,Electric Alliance Unleashed,Action,2004-07-04,Telugu,91,5.7,AVM Productions
CONT000274,Final Kingdom Origins,Anime,2007-06-28,Hindi,75,6.3,Real Star Productions
CONT000275,Whispering Genesis Returns,Romance,2023-12-12,Kannada,172,2.1,Sony Pictures
CONT000276,Savage Voyage,Romance,2012-12-06,Telugu,122,7.6,Studio Canal
CONT000277,Frozen Voyage,Romance,2025-07-29,Tamil,226,4.5,Legendary Pictures
CONT000278,Velvet Secrets,Documentary,2013-08-15,French,180,8.4,Warner Bros Pictures
CONT000279,Final Empire Unleashed,Documentary,2017-03-09,Spanish,63,9.3,Yash Raj Films
CONT000280,Radiant Rebellion,Anime,2022-01-16,Telugu,132,8.9,Dharma Productions
CONT000281,Broken Fury Origins,Kids,2002-10-13,Spanish,172,4.2,Gaumont Film Company
CONT000282,Crimson Echoes The Beginning,Drama,2018-09-11,Japanese,231,4.2,Netflix Originals Studio
CONT000283,Hidden Alliance,Thriller,2023-03-24,Hindi,181,3.4,MGM Studios
CONT000284,Eternal Path,Action,2018-05-30,Hindi,187,4.6,A24
CONT000285,Midnight Prophecy,Comedy,2017-01-09,French,237,5.1,Studio Canal
CONT000286,Sacred Voyage,Documentary,2024-11-28,Spanish,225,3.9,Toho Studios
CONT000287,Scarlet Prophecy,Sports,2019-12-02,Telugu,107,5.8,Toho Studios
CONT000288,Burning Rebellion Origins,Anime,2010-11-19,Japanese,112,9.7,Prithvi Productions
CONT000289,Endless Warriors Origins,Romance,2022-04-23,Telugu,197,8.0,Legendary Pictures
CONT000290,Distant Path,Documentary,2019-04-17,Spanish,178,4.2,Lionsgate
CONT000291,Shadow Frontier Reloaded,Comedy,2018-05-15,Japanese,188,4.6,Legendary Pictures
CONT000292,Endless Justice Reloaded,Sports,2021-10-31,Spanish,172,7.9,Prithvi Productions
CONT000293,Burning Empire,Comedy,2007-08-29,Japanese,141,4.3,Paramount Pictures
CONT000294,Forgotten Voyage,Comedy,2013-03-24,Japanese,190,9.0,AVM Productions
CONT000295,Ancient Symphony,Documentary,2009-04-27,Tamil,165,2.6,MGM Studios
CONT000296,Burning Alliance Unleashed,Action,2018-06-15,English,60,3.8,Amazon Studios
CONT000297,Frozen Warriors,Sports,2004-06-01,English,231,1.3,Yash Raj Films
CONT000298,Emerald Sanctuary,Thriller,2023-11-03,Kannada,207,2.8,Lionsgate
CONT000299,Crimson Horizon Unleashed,Comedy,2001-04-20,Hindi,79,2.5,Marvel Studios
CONT000300,Emerald Vendetta,Sports,2002-10-14,English,235,7.9,Lyca Productions
CONT000301,Eternal Reckoning Origins,Drama,2001-06-22,Telugu,220,1.9,Prithvi Productions
CONT000302,Burning Dreams,Kids,2017-04-19,English,73,3.0,Mythri Movie Makers
CONT000303,Burning Sanctuary,Kids,2002-06-13,Tamil,123,3.0,Yash Raj Films
